year,__,__,__,__,__,__,__,__,total,all
1800,1,1,0,0,2,4,0,0,8,116
1810,0,1,1,0,0,8,0,0,10,122
1820,0,0,0,0,0,8,1,0,9,149
1830,0,0,0,0,0,5,0,0,5,141
1840,0,0,1,0,0,4,0,0,5,165
1850,0,2,0,1,1,4,0,0,8,77
1860,0,3,2,0,0,4,0,0,9,201
1870,2,5,2,1,2,16,1,1,30,411
1880,2,0,0,2,1,18,0,0,23,353
1890,0,7,0,0,2,13,0,0,22,292
1900,22,25,10,12,19,19,13,10,130,238
1910,2,13,0,0,3,6,6,0,30,122
1920,36,110,7,15,29,28,24,5,254,469
1930,94,289,27,75,63,57,76,19,700,1169
1940,149,209,26,38,49,35,60,11,577,626
1950,4929,4604,2203,1249,2909,1734,1884,916,20428,9428
1960,3771,3950,2156,1074,2665,1629,1155,843,17243,8500
1970,8936,9159,4462,3003,6643,3457,2618,3067,41345,18446
1980,54399,59780,35458,29492,49202,35045,30578,25740,319694,82249
1990,57514,64752,36562,37719,55340,41091,40287,25489,358754,84118
2000,56070,71665,40585,40277,60640,40136,42898,25628,377899,94933
