year,democracy,liberty,justice,equality,rights,election,citizen,protests,total,all
1800,1,116,137,72,212,25,17,9,589,271
1810,2,250,276,85,374,42,37,20,1086,448
1820,2,300,445,98,636,61,39,18,1599,717
1830,5,676,821,255,1321,154,58,53,3343,1348
1840,3,825,1046,368,1818,210,118,46,4434,1714
1850,10,1293,1733,645,2828,522,145,81,7257,2812
1860,24,2609,2967,1507,4698,1258,257,297,13617,4415
1870,22,2732,3016,1563,4945,1493,179,254,14204,4525
1880,35,3545,3787,1946,6180,1850,181,305,17829,6062
1890,40,5085,5452,2899,9014,2657,267,470,25884,9027
1900,122,7189,7018,3926,11924,3790,382,709,35060,12078
1910,53,4457,4141,2172,7703,2148,232,369,21275,9140
1920,612,5604,4431,2867,9693,2735,2589,3129,31660,12742
1930,755,5905,5115,4053,12016,3281,3723,4364,39212,15661
1940,643,5304,4855,3732,10880,2795,3542,3979,35730,13843
1950,1693,16128,15802,12378,33155,9134,11037,14241,113568,41680
1960,3800,32771,33279,30478,68726,18202,21893,27208,236357,95829
1970,4465,34084,37075,33445,68076,16721,21578,24906,240350,93644
1980,5796,38289,41782,35213,76192,18381,25320,26643,267616,101235
1990,8555,41306,37861,28149,70500,21277,27378,26477,261503,85203
2000,9803,44524,38247,25919,75938,25088,33376,29419,282314,78412
