year,democracia,libertad,justica,igualdad,derechos,elecci—n,ciudadano,protesta,total,all
1800,86,156,5,1352,1575,356,976,394,4900,2461
1810,146,178,14,952,1213,280,777,369,3929,1731
1820,372,435,23,1839,2220,452,1528,724,7593,2969
1830,404,476,27,1946,2396,474,1459,820,8002,3181
1840,932,865,42,3310,3830,709,2544,1825,14057,4739
1850,963,1087,61,3855,5103,791,3124,2298,17282,6317
1860,1665,2020,88,5265,6890,1124,4240,3593,24885,8819
1870,1688,2208,84,3888,5141,1102,3790,3173,21074,5810
1880,1954,2875,73,4798,6435,2769,4636,4175,27715,7349
1890,2181,3393,81,5173,7256,5304,5201,4665,33254,8415
1900,3323,4717,106,7090,9877,7794,7102,6473,46482,11598
1910,5383,5817,104,8537,11316,9790,8697,8079,57723,13881
1920,6446,6854,146,9564,12946,11291,9894,9282,66423,16931
1930,9592,9530,172,13055,18574,15611,13518,12724,92776,24721
1940,15280,14881,268,19976,28308,23953,20315,18142,141123,38383
1950,17815,18062,298,22831,31721,27419,23124,21098,162368,45069
1960,29337,27873,424,35827,50211,43237,35672,32838,255419,74681
1970,39178,35359,483,49354,68971,59233,44300,44756,341634,102142
1980,55558,43896,627,60655,86343,72896,55225,54040,429240,120530
1990,72871,52280,798,77612,114355,95529,69478,64272,547195,155703
2000,85676,61046,508,95855,147512,122683,86304,76010,675594,189831
