year,democracy,liberty,justice,equality,rights,election,citizen,protests,total,all
1800,428,2168,2118,1194,1757,1338,1357,117,10477,2386
1810,542,3283,3203,1787,2543,1961,1945,168,15432,3645
1820,961,5617,5546,3170,4465,3241,3293,328,26621,6487
1830,2198,11128,10927,6387,9054,6374,6946,704,53718,12703
1840,3436,14494,14378,8400,11878,8441,9335,1305,71667,17196
1850,5530,22743,22871,13204,19296,13405,15098,2512,114659,27213
1860,4222,18364,18464,10244,15573,10788,12305,2587,92547,23436
1870,4909,21234,21850,11955,18558,12545,14534,3528,109113,29360
1880,8203,33490,34634,18437,31157,20267,23616,7133,176937,47569
1890,13262,49736,51805,27079,48291,28873,34328,12181,265555,74324
1900,20416,65437,69313,35962,65735,38933,47309,18675,361780,105281
1910,30885,67496,74538,38731,73553,40666,52457,22961,401287,124240
1920,28818,52555,59060,32299,60429,33956,43177,20257,330551,100779
1930,25213,41337,47710,28073,53971,30896,36967,19706,283873,88198
1940,30744,39708,45642,29638,56846,31384,38702,19211,291875,90115
1950,36823,48580,59274,40426,78146,41154,49332,25303,379038,120930
1960,67524,89184,111956,83258,152925,79377,90441,49341,724006,227983
1970,75309,96299,134197,99301,217760,92760,108781,57770,882177,292282
1980,77302,94174,147286,103223,279443,98570,114014,63185,977197,333923
1990,126210,142176,237074,156588,463238,150846,178991,102477,1557600,521179
2000,237835,395950,575571,303312,923968,319090,386819,204252,3346797,1082897
